Thu Nov 03 19:30:47 +0000 2016,794260554479267844,Botnet #22,UDP flood,10,192.223.27.22/32,Not found.
Thu Nov 03 19:07:00 +0000 2016,794254570666991616,Botnet #28,GRE-IP flood,600,46.28.203.195/32,80
Thu Nov 03 18:55:15 +0000 2016,794251611111620610,Botnet #28,STOMP flood,180,186.2.163.161/32,80
Thu Nov 03 18:54:15 +0000 2016,794251362326478852,Botnet #28,STOMP flood,60,186.2.163.161/32,80
Thu Nov 03 18:52:00 +0000 2016,794250795122302976,Botnet #28,STOMP flood,15,186.2.163.161/32,80
Thu Nov 03 18:51:42 +0000 2016,794250717863223296,Botnet #28,GRE-IP flood,15,186.2.163.161/32,80
Thu Nov 03 18:40:50 +0000 2016,794247984116617216,Botnet #28,GRE-IP flood,300,46.28.203.195/32,80
Thu Nov 03 18:35:04 +0000 2016,794246531339714560,Botnet #28,ACK flood,300,46.28.203.195/32,80
Thu Nov 03 18:34:00 +0000 2016,794246263764041729,Botnet #28,ACK flood,60,46.28.203.195/32,80
Thu Nov 03 18:32:42 +0000 2016,794245937937924096,Botnet #28,GRE-IP flood,30,46.28.203.195/32,80
Thu Nov 03 18:25:23 +0000 2016,794244094948216832,Botnet #28,HTTP flood,30,"fortunejack​.com (104.20.13.246/32)
fortunejack​.com (104.20.12.246/32)",443
Thu Nov 03 18:08:47 +0000 2016,794239916507070465,Botnet #25,UDP flood,60,5.9.67.181/32,59620
Thu Nov 03 18:06:58 +0000 2016,794239461437665280,Botnet #25,UDP flood,80,93.139.161.73/32,Not found.
Thu Nov 03 18:05:48 +0000 2016,794239169254014976,Botnet #25,ACK flood,60,81.176.176.21/32,7777
Thu Nov 03 17:40:58 +0000 2016,794232916565958656,Botnet #28,GRE-IP flood,600,78.110.19.210/32,80
Thu Nov 03 17:30:58 +0000 2016,794230400168169472,Botnet #28,GRE-IP flood,300,78.110.19.210/32,80
Thu Nov 03 17:29:21 +0000 2016,794229996575453184,Botnet #28,GRE-IP flood,30,78.110.19.210/32,80
Thu Nov 03 13:05:34 +0000 2016,794163609526005760,Botnet #14,ACK flood,300,168.253.25.42/32,Not found.
Thu Nov 03 13:01:56 +0000 2016,794162695729807361,Botnet #14,ACK flood,60,168.253.25.42/32,Not found.
Thu Nov 03 12:36:01 +0000 2016,794156173926797312,Botnet #14,ACK flood,180,168.253.25.0/26,Not found.
Thu Nov 03 11:39:55 +0000 2016,794142055173853184,Botnet #14,ACK flood,900,168.253.25.42/32,Not found.
Wed Nov 02 23:13:23 +0000 2016,793954183837876224,Botnet #14,DNS flood,1,http://www​.malwaretech​.com (8.8.8.8/32),Not found.
Wed Nov 02 23:11:52 +0000 2016,793953803569664000,Botnet #14,DNS flood,1,kevin​.lies​.in​.fear (8.8.8.8/32),Not found.
Wed Nov 02 23:08:03 +0000 2016,793952845036974080,Botnet #14,DNS flood,1,www​.malwaretech​.com (8.8.8.8/32),Not found.
Wed Nov 02 23:03:59 +0000 2016,793951819806474240,Botnet #14,DNS flood,1,shadows​.kill (8.8.8.8/32),Not found.
Wed Nov 02 23:03:51 +0000 2016,793951788298813441,Botnet #14,DNS flood,1,cctv​.big (8.8.8.8/32),Not found.
Wed Nov 02 23:03:48 +0000 2016,793951772658298880,Botnet #14,DNS flood,1,uk​.small (8.8.8.8/32),Not found.
Wed Nov 02 22:02:57 +0000 2016,793936459258589184,Botnet #14,ACK flood,3600,168.253.25.0/26,Not found.
Wed Nov 02 21:58:44 +0000 2016,793935397491511297,Botnet #14,DNS flood,60,malwaretech​.com (127.0.0.1/32),Not found.
Wed Nov 02 21:36:55 +0000 2016,793929907499917317,Botnet #14,ACK flood,300,168.253.25.0/26,Not found.
Wed Nov 02 18:08:01 +0000 2016,793877336911380480,Botnet #14,ACK flood,1800,168.253.25.0/26,Not found.
Wed Nov 02 13:34:39 +0000 2016,793808544051109890,Botnet #14,ACK flood,60,"41.181.189.244/32
41.181.245.182/32
41.181.245.186/32
41.181.190.196/32
41.181.245.251/32",Not found.
Wed Nov 02 13:32:04 +0000 2016,793807892600254464,Botnet #14,UDP flood,60,"41.181.245.182/32
41.181.245.186/32
41.181.190.196/32
41.181.245.251/32
41.181.189.244/32",Not found.
Wed Nov 02 11:07:43 +0000 2016,793771565401899008,Botnet #14,ACK flood,240,"41.57.81.30/32
41.57.81.25/32
41.57.81.26/32
41.57.81.27/32
41.57.81.28/32
41.57.81.29/32",Not found.
Wed Nov 02 10:23:40 +0000 2016,793760481072807936,Botnet #14,ACK flood,240,"41.57.81.27/32
41.57.81.28/32
41.57.81.29/32
41.57.81.30/32
41.57.81.25/32
41.57.81.26/32",Not found.
Wed Nov 02 09:42:00 +0000 2016,793749995858063360,Botnet #14,ACK flood,240,"41.57.81.25/32
41.57.81.26/32
41.57.81.27/32
41.57.81.28/32
41.57.81.29/32
41.57.81.30/32",Not found.
Wed Nov 02 09:33:40 +0000 2016,793747897670045697,Botnet #14,ACK flood,240,"41.57.81.26/32
41.57.81.27/32
41.57.81.28/32
41.57.81.29/32
41.57.81.30/32
41.57.81.25/32",Not found.
Wed Nov 02 09:25:20 +0000 2016,793745801142992896,Botnet #14,ACK flood,240,"41.57.81.28/32
41.57.81.29/32
41.57.81.30/32
41.57.81.25/32
41.57.81.26/32
41.57.81.27/32",Not found.
Wed Nov 02 08:41:15 +0000 2016,793734704184852480,Botnet #14,ACK flood,180,"41.57.81.30/32
41.57.81.25/32
41.57.81.26/32
41.57.81.27/32
41.57.81.28/32
41.57.81.29/32",Not found.
Wed Nov 02 08:32:54 +0000 2016,793732606365925376,Botnet #14,ACK flood,180,"41.57.81.29/32
41.57.81.30/32
41.57.81.25/32
41.57.81.26/32
41.57.81.27/32
41.57.81.28/32",Not found.
Wed Nov 02 08:24:34 +0000 2016,793730508635172864,Botnet #14,ACK flood,180,"41.57.81.28/32
41.57.81.29/32
41.57.81.30/32
41.57.81.25/32
41.57.81.26/32
41.57.81.27/32",Not found.
Wed Nov 02 08:07:54 +0000 2016,793726314578583552,Botnet #14,ACK flood,180,"41.57.81.25/32
41.57.81.26/32
41.57.81.27/32
41.57.81.28/32
41.57.81.29/32
41.57.81.30/32",Not found.
Wed Nov 02 08:04:58 +0000 2016,793725576653733888,Botnet #14,SYN flood,60,41.57.81.0/26,Not found.
Wed Nov 02 07:49:32 +0000 2016,793721692845596672,Botnet #14,ACK flood,180,41.57.81.0/24,Not found.
Wed Nov 02 02:41:41 +0000 2016,793644220192006146,Botnet #13,GRE-IP flood,200,95.131.186.32/32,Not found.
Wed Nov 02 01:27:32 +0000 2016,793625558877954048,Botnet #13,UDPPLAIN flood,200,"141.138.128.0/21
95.131.184.0/21
194.73.173.0/24",443
Tue Nov 01 23:50:08 +0000 2016,793601045440126977,Botnet #13,ACK flood,250,95.131.184.0/21,Not found.
Tue Nov 01 23:20:58 +0000 2016,793593708189024256,Botnet #7[netwxrk​.org],HTTP flood,30,sinful​.b-cdn​.net (185.117.22.148/32),80
Tue Nov 01 19:38:07 +0000 2016,793537624640217088,Botnet #22,SYN flood,300,129.143.231.15/32,80
Tue Nov 01 17:58:07 +0000 2016,793512459126599680,Botnet #7[netwxrk​.org],STOMP flood,300,186.2.163.161/32,80
Tue Nov 01 17:57:07 +0000 2016,793512206415568896,Botnet #7[netwxrk​.org],STOMP flood,60,186.2.163.161/32,80
Tue Nov 01 17:48:27 +0000 2016,793510027013349377,Botnet #7[netwxrk​.org],STOMP flood,30,186.2.163.161/32,80
Tue Nov 01 17:47:16 +0000 2016,793509728286568448,Botnet #7[netwxrk​.org],GRE-IP flood,15,186.2.163.161/32,80
Tue Nov 01 16:35:22 +0000 2016,793491633224478720,Botnet #13,SYN flood,200,"95.131.184.0/21
141.138.128.0/21",80
Tue Nov 01 16:05:29 +0000 2016,793484114905165825,Botnet #14,UDP flood,180,212.70.159.206/32,Not found.
Tue Nov 01 15:17:23 +0000 2016,793472010458374144,Botnet #13,GRE-IP flood,200,141.138.130.12/32,Not found.
Tue Nov 01 15:13:01 +0000 2016,793470910988750848,Botnet #7[netwxrk​.org],GRE-IP flood,15,54.187.94.19/32,80
Tue Nov 01 15:09:58 +0000 2016,793470141455593472,Botnet #7[netwxrk​.org],GRE-IP flood,30,94.23.122.78/32,Not found.
Tue Nov 01 15:04:17 +0000 2016,793468711197876224,Botnet #7[netwxrk​.org],HTTP flood,30,webdeflect​.com (213.32.64.47/32),80
Tue Nov 01 14:58:17 +0000 2016,793467201600847876,Botnet #7[netwxrk​.org],HTTP flood,30,webdeflect​.com (213.32.64.47/32),443
Tue Nov 01 14:53:12 +0000 2016,793465922593906688,Botnet #7[netwxrk​.org],STOMP flood,30,213.32.64.47/32,80
Tue Nov 01 14:52:22 +0000 2016,793465710894804992,Botnet #7[netwxrk​.org],GRE-IP flood,30,213.32.64.47/32,80
Tue Nov 01 14:41:22 +0000 2016,793462943505580032,Botnet #14,ACK flood,3600,41.57.81.0/26,Not found.
Tue Nov 01 14:37:57 +0000 2016,793462082855399424,Botnet #7[netwxrk​.org],GRE-IP flood,15,213.32.64.47/32,80
Tue Nov 01 14:33:24 +0000 2016,793460939790118914,Botnet #13,ACK flood,200,141.138.130.0/24,80
Tue Nov 01 13:47:05 +0000 2016,793449283458654209,Botnet #14,ACK flood,1800,41.57.81.27/32,Not found.
Tue Nov 01 13:02:29 +0000 2016,793438058150502400,Botnet #14,ACK flood,1800,41.57.81.0/26,Not found.
Tue Nov 01 13:01:47 +0000 2016,793437885320007680,Botnet #7[netwxrk​.org],HTTP flood,30,52​.4​.207​.99 (52.4.207.99/32),80
Tue Nov 01 10:30:06 +0000 2016,793399709994016769,Botnet #14,GRE-IP flood,600,61.58.33.94/32,80
Tue Nov 01 10:29:18 +0000 2016,793399510307340288,Botnet #14,GRE-IP flood,30,61.58.33.94/32,80
Tue Nov 01 10:28:55 +0000 2016,793399414693957632,Botnet #14,GRE-IP flood,30,61.58.33.94/32,8888
Tue Nov 01 10:23:54 +0000 2016,793398151365427200,Botnet #14,ACK flood,30,61.58.33.94/32,8888
Tue Nov 01 10:19:13 +0000 2016,793396970404605960,Botnet #7[netwxrk​.org],ACK flood,30,61.58.33.94/32,8888
Tue Nov 01 10:16:47 +0000 2016,793396360452112384,Botnet #7[netwxrk​.org],UDP flood,30,61.58.33.94/32,8888
Tue Nov 01 10:12:01 +0000 2016,793395162214989825,Botnet #7[netwxrk​.org],UDP flood,30,61.58.33.94/32,Not found.
Tue Nov 01 09:31:35 +0000 2016,793384985570992129,Botnet #14,ACK flood,30,41.57.81.27/32,Not found.
Tue Nov 01 07:52:02 +0000 2016,793359932624166913,Botnet #14,ACK flood,60,41.57.81.27/32,Not found.
Tue Nov 01 07:48:20 +0000 2016,793359000029040640,Botnet #14,ACK flood,15,41.57.81.27/32,Not found.
Tue Nov 01 06:36:51 +0000 2016,793341012089380864,Botnet #14,ACK flood,10,41.181.189.244/32,Not found.
Tue Nov 01 06:27:15 +0000 2016,793338594224209920,Botnet #14,ACK flood,60,41.57.81.1/32,Not found.
Tue Nov 01 02:38:42 +0000 2016,793281081764093956,Botnet #14,ACK flood,60,41.181.245.186/32,Not found.
Mon Oct 31 23:01:48 +0000 2016,793226495137308672,Botnet #7[netwxrk​.org],GRE-IP flood,30,91.121.131.143/32,Not found.
Mon Oct 31 23:00:46 +0000 2016,793226233022676995,Botnet #7[netwxrk​.org],STOMP flood,30,91.121.131.143/32,Not found.
Mon Oct 31 22:54:13 +0000 2016,793224586032717825,Botnet #7[netwxrk​.org],HTTP flood,120,"ban​.bz (104.28.30.248/32)
ban​.bz (104.28.31.248/32)",80
Mon Oct 31 22:52:33 +0000 2016,793224165872529408,Botnet #22,SYN flood,20,103.195.100.186/32,25565
Mon Oct 31 22:50:20 +0000 2016,793223610613768192,Botnet #7[netwxrk​.org],HTTP flood,30,"ban​.bz (104.28.30.248/32)
ban​.bz (104.28.31.248/32)",80
Mon Oct 31 22:37:31 +0000 2016,793220382295810056,Botnet #7[netwxrk​.org],STOMP flood,30,149.202.90.16/32,Not found.
Mon Oct 31 22:34:04 +0000 2016,793219517052780544,Botnet #7[netwxrk​.org],GRE-IP flood,30,37.187.231.86/32,Not found.
Mon Oct 31 22:33:20 +0000 2016,793219329915510787,Botnet #7[netwxrk​.org],GRE-IP flood,30,149.202.90.16/32,Not found.
Mon Oct 31 22:30:46 +0000 2016,793218686026915840,Botnet #7[netwxrk​.org],GRE-IP flood,30,94.23.181.25/32,80
Mon Oct 31 22:29:44 +0000 2016,793218423094468608,Botnet #7[netwxrk​.org],STOMP flood,60,94.23.181.25/32,80
Mon Oct 31 22:20:06 +0000 2016,793216000074326016,Botnet #7[netwxrk​.org],STOMP flood,30,5.254.66.135/32,80
Mon Oct 31 22:19:36 +0000 2016,793215875646164992,Botnet #7[netwxrk​.org],GRE-IP flood,30,5.254.66.135/32,80
Mon Oct 31 22:02:09 +0000 2016,793211482074968065,Botnet #7[netwxrk​.org],GRE-IP flood,600,"77.87.181.72/32
77.87.181.63/32",Not found.
Mon Oct 31 22:00:07 +0000 2016,793210972345368577,Botnet #7[netwxrk​.org],GRE-IP flood,30,"77.87.181.255/32
77.87.180.255/32",Not found.
Mon Oct 31 21:58:55 +0000 2016,793210671290802176,Botnet #7[netwxrk​.org],ACK flood,30,77.87.181.72/32,80
Mon Oct 31 21:57:42 +0000 2016,793210363416371201,Botnet #7[netwxrk​.org],GRE-IP flood,30,77.87.181.72/32,80
Mon Oct 31 21:57:02 +0000 2016,793210194067095554,Botnet #7[netwxrk​.org],STOMP flood,30,77.87.181.63/32,Not found.
Mon Oct 31 21:55:56 +0000 2016,793209917054345218,Botnet #7[netwxrk​.org],DNS flood,30,pokerstars​.eu (77.87.181.72/32),53
Mon Oct 31 21:55:55 +0000 2016,793209915758276608,Botnet #7[netwxrk​.org],GRE-ETH flood,1,77.87.181.72/32,Not found.
Mon Oct 31 21:55:02 +0000 2016,793209692713545728,Botnet #7[netwxrk​.org],GRE-ETH flood,30,77.87.181.72/32,Not found.
Mon Oct 31 21:53:18 +0000 2016,793209256606593024,Botnet #7[netwxrk​.org],GRE-IP flood,30,77.87.177.252/32,Not found.
Mon Oct 31 21:52:21 +0000 2016,793209018894454784,Botnet #7[netwxrk​.org],GRE-IP flood,30,77.87.181.72/32,Not found.
Mon Oct 31 21:49:18 +0000 2016,793208248073592832,Botnet #7[netwxrk​.org],GRE-IP flood,30,81.20.67.182/32,Not found.
Mon Oct 31 21:48:48 +0000 2016,793208121871233024,Botnet #7[netwxrk​.org],GRE-IP flood,30,77.87.180.14/32,Not found.
Mon Oct 31 21:38:44 +0000 2016,793205592647200768,Botnet #7[netwxrk​.org],STOMP flood,600,"77.87.180.156/32
77.87.181.72/32",80
